speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
2179,Deb,Fischer,SENATOR,R,NE,,F000463,113
1571,Peter,Fitzgerald,SENATOR,R,IL,,F000442,107
1797,Michael,Fitzpatrick,REPRESENTATIVE,R,PA,8,F000451,113
1633,Jeff,Flake,SENATOR,R,AZ,,F000444,113
388,Floyd,Flake,REPRESENTATIVE,D,NY,6,F000184,105
2061,Charles,Fleischmann,REPRESENTATIVE,R,TN,3,F000459,113
1924,John,Fleming,REPRESENTATIVE,R,LA,4,F000456,113
1563,Ernie,Fletcher,REPRESENTATIVE,R,KY,6,F000441,107
395,Thomas,Foglietta,REPRESENTATIVE,D,PA,1,F000235,105
396,Mark,Foley,REPRESENTATIVE,R,FL,16,F000238,107
398,Michael,Forbes,REPRESENTATIVE,D,NY,1,F000257,106
1683,J.,Forbes,REPRESENTATIVE,R,VA,4,F000445,113
1334,Wendell,Ford,SENATOR,D,KY,,F000268,105
1483,Harold,Ford,REPRESENTATIVE,D,TN,9,F000262,107
1793,Jeff,Fortenberry,REPRESENTATIVE,R,NE,1,F000449,113
1484,Vito,Fossella,REPRESENTATIVE,R,NY,13,F000440,107
1888,Bill,Foster,REPRESENTATIVE,D,IL,11,F000454,113
404,Tillie,Fowler,REPRESENTATIVE,R,FL,4,F000328,106
406,Jon,Fox,REPRESENTATIVE,R,PA,13,F000332,105
1791,Virginia,Foxx,REPRESENTATIVE,R,NC,5,F000450,113
407,Barney,Frank,REPRESENTATIVE,D,MA,4,F000339,107
2119,Lois,Frankel,REPRESENTATIVE,D,FL,22,F000462,113
1969,Al,Franken,SENATOR,D,MN,,F000457,113
1707,Trent,Franks,REPRESENTATIVE,R,AZ,8,F000448,113
409,Bob,Franks,REPRESENTATIVE,R,NJ,7,F000349,106
414,Rodney,Frelinghuysen,REPRESENTATIVE,R,NJ,11,F000372,113
1336,William,Frist,SENATOR,R,TN,,F000439,107
419,Martin,Frost,REPRESENTATIVE,D,TX,24,F000392,107
1895,Marcia,Fudge,REPRESENTATIVE,D,OH,11,F000455,113
423,Elizabeth,Furse,REPRESENTATIVE,D,OR,1,F000434,105
2122,Tulsi,Gabbard,REPRESENTATIVE,D,HI,2,G000571,113
425,Elton,Gallegly,REPRESENTATIVE,R,CA,23,G000021,107
2226,Ruben,Gallego,REPRESENTATIVE,D,AZ,7,G000574,114
2164,Pete,Gallego,REPRESENTATIVE,D,TX,23,G000572,113
428,Greg,Ganske,REPRESENTATIVE,R,IA,4,G000041,107
1973,John,Garamendi,REPRESENTATIVE,D,CA,3,G000559,113
1998,Cory,Gardner,REPRESENTATIVE,R,CO,4,G000562,113
1737,Scott,Garrett,REPRESENTATIVE,R,NJ,5,G000548,113
431,Sam,Gejdenson,REPRESENTATIVE,D,CT,2,G000120,106
432,George,Gekas,REPRESENTATIVE,R,PA,17,G000121,107
433,Richard,Gephardt,REPRESENTATIVE,D,MO,3,G000132,107
1743,Jim,Gerlach,REPRESENTATIVE,R,PA,6,G000549,113
1485,Jim,Gibbons,REPRESENTATIVE,R,NV,2,G000152,107
2049,Bob,Gibbs,REPRESENTATIVE,R,OH,7,G000563,113
2043,Christopher,Gibson,REPRESENTATIVE,R,NY,19,G000564,113
1831,Gabrielle,Giffords,REPRESENTATIVE,D,AZ,8,G000554,112
438,Wayne,Gilchrest,REPRESENTATIVE,R,MD,1,G000180,107
1866,Kirsten,Gillibrand,SENATOR,D,NY,,G000555,113
439,Paul,Gillmor,REPRESENTATIVE,R,OH,5,G000210,107
440,Benjamin,Gilman,REPRESENTATIVE,R,NY,20,G000212,107
